Country,Continent,Sex,Y2019,Y2018,Y2017,Y2016,Y2015,Y2014,Y2013,Y2012,Y2011,Y2010,Y2009,income_2019
Afghanistan,Eastern Mediterranean,Female,5.67,5.57,5.5,5.83,5.78,5.88,6,6.08,6.24,6.44,6.59,507.1033919
Afghanistan,Eastern Mediterranean,Both sexes,5.96,5.91,5.95,6.01,5.99,6.02,6.17,6.24,6.42,6.67,6.84,507.1033919
Afghanistan,Eastern Mediterranean,Male,6.19,6.19,6.34,6.15,6.14,6.11,6.29,6.35,6.56,6.85,7.03,507.1033919
Albania,Europe,Female,2.22,2.38,2.54,2.68,2.81,2.91,3.23,3.15,8.22,5.92,5.84,5355.847795
Albania,Europe,Male,5.27,5.55,5.73,5.7,5.7,6.18,6.53,6.58,7.26,9.45,10.21,5355.847795
Albania,Europe,Both sexes,3.72,3.94,4.11,4.17,4.23,4.52,4.84,4.82,7.63,7.63,7.96,5355.847795
Algeria,Africa,Female,1.9,1.91,1.9,1.94,2.01,2.02,2.06,2.1,2.13,2.19,2.29,3975.508993
Algeria,Africa,Male,3.3,3.24,3.18,3.29,3.44,3.53,3.64,3.68,3.74,3.81,4.02,3975.508993
Algeria,Africa,Both sexes,2.6,2.58,2.54,2.61,2.72,2.78,2.85,2.89,2.94,3,3.15,3975.508993
Angola,Africa,Female,4.68,4.64,4.86,5.1,5.06,4.84,5.22,5.37,5.24,5.61,5.35,2809.626088
Angola,Africa,Male,21.71,21.28,21.04,21.84,22.69,22.62,24.27,24.1,22.84,23.92,22.99,2809.626088
Angola,Africa,Both sexes,12.55,12.35,12.36,12.87,13.27,13.14,14.16,14.16,13.49,14.21,13.65,2809.626088
Antigua and Barbuda,Americas,Both sexes,0.32,0.32,0,0.49,0.42,0.44,0,0,0.16,0.13,0,17113.34977
Antigua and Barbuda,Americas,Female,0.6,0.61,0,0.93,0.79,0.83,0,0,0.17,0,0,17113.34977
Antigua and Barbuda,Americas,Male,0,0,0,0,0,0,0,0,0.15,0.28,0,17113.34977
Argentina,Americas,Male,13.48,14.91,14.31,13.55,13.51,15.07,14.2,15.05,14.01,14.31,14.04,9912.281809
Argentina,Americas,Both sexes,8.14,8.99,8.69,8.06,8.1,9.16,8.45,8.96,8.42,8.43,8.35,9912.281809
Argentina,Americas,Female,3.31,3.59,3.55,3.08,3.23,3.71,3.14,3.42,3.3,3.11,3.21,9912.281809
Armenia,Europe,Female,1.02,0.7,0.9,1.67,2.56,2.9,3.72,3.19,3,2.89,1.41,4622.738182
Armenia,Europe,Both sexes,2.66,1.65,2.43,4.43,4.7,4.63,5.31,6.39,5.74,5.86,4.06,4622.738182
Armenia,Europe,Male,4.92,2.92,4.68,8.06,7.57,6.84,7.15,10.33,8.96,9.92,7.79,4622.738182
Australia,Western Pacific,Both sexes,11.25,11.26,11.79,10.92,11.81,11.31,10.24,10.48,10.06,10.41,10.01,55057.2047
Australia,Western Pacific,Male,16.97,17.14,17.71,16.33,17.74,16.95,15.26,15.37,15.19,15.94,15.23,55057.2047
Australia,Western Pacific,Female,5.58,5.42,5.92,5.56,5.97,5.75,5.29,5.66,4.97,4.92,4.83,55057.2047
Austria,Europe,Male,16.56,18.01,17.49,17.11,17.91,18.97,17.97,19.33,19.43,19.58,19.23,50121.55421
Austria,Europe,Female,4.64,4.83,4.55,5.65,5.37,5.63,5.54,4.8,5.79,5.46,5.24,50121.55421
Austria,Europe,Both sexes,10.4,11.19,10.77,11.13,11.39,12.04,11.45,11.78,12.28,12.21,11.89,50121.55421
Azerbaijan,Europe,Female,1.48,1.49,1.53,1.54,1.56,1.59,1.63,1.75,1.8,1.87,1.92,4805.753718
Azerbaijan,Europe,Both sexes,3.97,3.92,3.91,3.92,3.99,4.1,4.19,4.31,4.44,4.53,4.64,4805.753718
Azerbaijan,Europe,Male,6.61,6.52,6.48,6.51,6.64,6.83,6.99,7.12,7.33,7.44,7.62,4805.753718
Bahrain,Eastern Mediterranean,Both sexes,7.2,7.04,6.73,6.48,6.32,6.37,6.15,6.44,6.88,7.16,7.65,23443.43483
Bahrain,Eastern Mediterranean,Female,2.27,2.29,2.29,2.31,2.37,2.45,2.5,2.62,2.91,2.98,3.2,23443.43483
Bahrain,Eastern Mediterranean,Male,9.86,9.65,9.25,8.91,8.67,8.72,8.33,8.7,9.22,9.63,10.25,23443.43483
Bangladesh,South-East Asia,Both sexes,3.85,3.75,3.68,3.6,3.64,3.73,3.8,4,4.34,4.82,5.06,1855.69151
Bangladesh,South-East Asia,Female,1.66,1.65,1.64,1.72,1.81,1.84,1.98,2.19,2.27,2.47,2.61,1855.69151
Bangladesh,South-East Asia,Male,6.02,5.82,5.68,5.45,5.43,5.57,5.55,5.75,6.34,7.09,7.4,1855.69151
Barbados,Americas,Female,0.16,0.16,0.16,0.16,0.16,0.16,0,0.25,0.22,0.3,0.23,18148.49785
Barbados,Americas,Both sexes,0.31,0.31,0.32,0.33,0.31,0.32,0.1,0.21,0.64,1.22,1.13,18148.49785
Barbados,Americas,Male,0.49,0.5,0.51,0.53,0.5,0.52,0.25,0.18,1.12,2.24,2.16,18148.49785
Belarus,Europe,Both sexes,16.49,17.94,18.46,19.4,19.55,21.59,22.82,24.63,30.16,29.89,30.41,6839.103833
Belarus,Europe,Male,30.12,32.81,33.81,35.51,35.97,39.66,41.76,45.08,55.29,55.1,55.67,6839.103833
Belarus,Europe,Female,5.28,5.62,5.72,5.96,5.86,6.28,6.81,7.32,8.59,8.33,8.93,6839.103833
Belgium,Europe,Male,19.55,20.25,20.77,21.68,20.7,21.67,22.12,24.46,23.92,24.03,24.39,46414.43523
Belgium,Europe,Both sexes,13.93,14.32,14.59,15.02,14.41,15.13,15.38,16.42,16.71,16.52,16.71,46414.43523
Belgium,Europe,Female,8.41,8.51,8.56,8.54,8.27,8.8,8.84,8.65,9.77,9.24,9.3,46414.43523
Belize,Americas,Female,1.83,1.65,1.66,1.54,1.61,1.71,1.79,1.91,2.06,2.14,2.01,5078.809944
Belize,Americas,Male,13.64,12.79,13.89,11.88,12.18,12.13,11.9,12.85,13.84,14.26,12.97,5078.809944
Belize,Americas,Both sexes,7.65,7.16,7.71,6.67,6.87,6.89,6.83,7.35,7.92,8.18,7.48,5078.809944
Benin,Africa,Both sexes,12.71,12.97,13.11,13.27,13.38,13.65,13.84,13.94,14.14,14.14,14.24,1219.515479
Benin,Africa,Female,6.09,6.17,6.27,6.34,6.39,6.52,6.62,6.66,6.78,6.81,6.84,1219.515479
